title,binding,our_price,isbn13,competitor_price,used_price,new_price,rental_price,marketplace_price,pricing_action,adjusted_price,profit
Two Boys Kissing,BOOK,32.74,9780307931900,5.23,5.23,,,,reduce_price,4.97,-27.77
The Stand,BOOK,57.86,9780307947307,5.39,6.29,,,5.39,reduce_price,5.12,-52.74
The Red Tent,BOOK,35.66,9780312169787,8.85,,,,8.85,reduce_price,8.41,-27.25
The Picture of Dorian Gray,BOOK,29.7,9780141439570,6.1,,,,6.1,reduce_price,5.79,-23.91
The Obsession,BOOK,45.43,9780515156386,5.1,,,,5.1,reduce_price,4.84,-40.59
The Nightingale,BOOK,26.26,9780312577223,3.28,,,,3.28,reduce_price,3.12,-23.14
The Nanny Diaries (Nanny #1),BOOK,52.53,9780312278588,3.8,3.8,,,4.49,reduce_price,3.61,-48.92
The Lover's Dictionary,BOOK,58.09,9780374193683,2.1,2.1,,,,reduce_price,1.99,-56.1
The Infinities,BOOK,27.41,9780307474391,3.96,3.96,,,,reduce_price,3.76,-23.65
The Husband's Secret,BOOK,52.51,9780399159343,8.49,,,,8.49,reduce_price,8.07,-44.44
The Guns of August,BOOK,14.54,9780345476098,4.99,,,,4.99,reduce_price,4.74,-9.8
The Guernsey Literary and Potato Peel Pie Society,BOOK,49.53,9781760528089,22.97,,,,22.97,reduce_price,21.82,-27.71
The Goldfinch,BOOK,43.58,9780316055444,4.0,,,,4.0,reduce_price,3.8,-39.78
The Girl with All the Gifts,BOOK,49.47,9780316262767,4.93,4.93,,,5.61,reduce_price,4.68,-44.79
"The End of Faith: Religion, Terror, and the Future of Reason",BOOK,22.13,9780393327656,4.88,4.88,,,6.49,reduce_price,4.64,-17.49
The Day the Crayons Came Home (Crayons),BOOK,26.33,9780593622360,8.61,8.61,,,,reduce_price,8.18,-18.15
The Complete Poems,BOOK,41.32,9781853264177,8.49,,,,8.49,reduce_price,8.07,-33.25
The Book Thief,BOOK,53.49,9780375831003,4.99,,,,4.99,reduce_price,4.74,-48.75
